Name,Topic,Eligibility,Budget,Deadline,Description,URL
FORTIS 1st Open Call,"Mensch-Roboter-Interaktion (HRI), multimodale Kommunikation, digitale Zwillinge","Konsortien aus 2-3 Organisationen: Start-ups, KMU, Mid-caps, Forschungseinrichtung, Universitäten",Bis zu 250.000 Euro,4. Juni 2025,"FORTIS unterstützt Projekte, die innovative Lösungen für eine sichere, vertrauenswürdige und effiziente Mensch-Roboter-Interaktion in industriellen Anwendungen entwickeln. Der Fokus liegt auf der Integration multimodaler Kommunikationsmethoden und digitaler Zwillinge, um die Zusammenarbeit zwischen Menschen und Robotern in Bereichen wie Bauwesen, Wartung und Logistik zu optimieren. Ziel ist es, praxistaugliche Technologien zu fördern, die die Interaktion verbessern und die Produktivität steigern.​  Weitere Information finden Sie hier",https://fortis-project.eu/open-call-1/
MASTER 2nd Open Call,VR/XR,"Universitäten, Forschungseinrichtungen, Bildungseinrichtungen, KMU und Großunternehmen",Bis zu 100.000 Euro,12. Juni 2025,"MASTER unterstützt Projekte, die innovative XR-basierte Bildungsinhalte für die Robotik-Ausbildung entwickeln und validieren. Ziel ist es, praxisnahe Schulungsszenarien zu schaffen, die den Einsatz von XR-Technologien in der industriellen Robotik fördern und Studierenden sowie Fachkräften den Zugang zu modernen Lernwerkzeugen ermöglichen.  Weitere Information finden Sie hier",https://www.master-xr.eu/open-calls/open-call-2/
PEDVolution Open Call,"Energienetze, Energieeffizienz","Start-ups, KMU, Mid-caps, Forschungseinrichtung, Kommunen",Bis zu 50.000 Euro,30. Juni 2025,"PEDvolution unterstützt Projekte, die innovative Lösungen für Positive Energy Districts (PEDs) entwickeln und implementieren. Ziel ist es, die Energieeffizienz zu steigern, sektorübergreifende Integration zu fördern und die digitale Interoperabilität in städtischen Quartieren zu verbessern. Die ausgewählten Demonstratoren erhalten Zugang zu fortschrittlichen Werkzeugen wie digitalen Zwillingen, Energiemanagementsystemen und Geschäftsmodellierungs-Tools, um die Entwicklung nachhaltiger und anpassungsfähiger PEDs voranzutreiben  Weitere Information finden Sie hie r",https://news.pedvolution.eu/posts/open-call-for-demonstrators-co-creating-europes-positive-energy-districts
SMURF 2nd Open Call,Fortswirtschaft & Waldbewirtschaft,"Kommunen, Verbände, Föderationen, oder Genossenschaften von Kleinwaldbesitzern",Bis zu 60.000 Euro,2. Juli 2025,"Das SMURF-Projekt zielt darauf ab, Innovation, Nachhaltigkeit und Rentabilität in der kleinskaligen Forstwirtschaft zu fördern. Gefördert werden Projekte, die innovative Geschäftsmodelle entwickeln, Demonstrationsflächen für naturnahe Waldbewirtschaftung (Close-to-Nature Silviculture, CNS) einrichten, an Schulungen teilnehmen, Pilotprojekte zu Zahlungen für Ökosystemleistungen (PES) implementieren und aktiv an nationalen oder regionalen Arbeitsgruppen mitwirken.  Weitere Information finden Sie hie r",https://www.smurfproject.eu/cascade-funding-smurf-project-2nd-call/
GUARDIANS 1st Open Call,Landwirtschaft & Digitalisierung,"KMU, Start-Up, Forschungseinrichtung oder Univesität",Bis zu 81.000 Euro,15. Juli 2025,"GUARDIANS fördert die gemeinsame Entwicklung, Erprobung und Replikation digitaler Technologien, die speziell auf die Herausforderungen kleiner und mittlerer landwirtschaftlicher Betriebe zugeschnitten sind. Ziel ist es, praxisnahe und skalierbare Lösungen zu schaffen, die die digitale Reife und Nachhaltigkeit dieser Betriebe erhöhen.  Weitere Information finden Sie hier",https://guardians-project.eu/call/open-call-1-co-creation/
AIRISE Open Call,KI in der Fertigung,KMU und Mid-Caps,Bis zu 60.000 Euro,16. Juli 2025,"AIRISE unterstützt KMU und Mid-Caps bei der Implementierung und Skalierung von KI-Lösungen in der Fertigung. Die Open Calls richten sich an Unternehmen, die entweder erste KI-Experimente durchführen oder bestehende Anwendungen auf ein höheres Reifegradniveau (TRL) bringen möchten. Gefördert werden Projekte in Bereichen wie Design & Engineering, Prozessüberwachung, Fertigungsbetrieb, Lieferkette, Cybersicherheit und Schulung  Weitere Information finden Sie hier",https://airise.eu/calls
ENVELOPE 1st Open Call,"5G, Vernetzte Mobilität",Konsortien aus 2-5 Partnern (min. 50% KMU),Bis zu 300.000 Euro,31. Juli 2025,"ENVELOPE fördert Projekte, die die Wiederverwendbarkeit der entwickelten Plattformfunktionen demonstrieren oder die Infrastruktur für ""Experimentation as a Service"" mit neuen APIs oder Enablern erweitern. Anwendungen können sich auf den Automobilbereich oder andere vertikale Sektoren beziehen. Ziel ist es, die Funktionalität der ENVELOPE-Plattform zu validieren und ihre Anwendbarkeit in verschiedenen Domänen zu erweitern.  Weitere Information finden Sie hier",https://envelope-project.eu/open-call-1/
Pathways2Resilience 2nd Open Call,"Klimaanpassung, Resilienzstrategien","Öffentliche Behörde, KMU",Bis zu 210.000 Euro,20. August 2025,"Pathways2Resilience unterstützt Regionen und Gemeinschaften bei der Entwicklung und Umsetzung langfristiger Klimaanpassungsstrategien. Ziel ist es, eine umfassende Bewertung der Klimarisiken und Anpassungskapazitäten durchzuführen, eine Resilienzstrategie zu entwickeln, einen Aktionsplan mit Monitoring- und Evaluierungsrahmen zu erstellen und einen Investitionsplan für Klimaanpassungsmaßnahmen zu formulieren.  Weitere Information finden Sie hier",https://www.pathways2resilience.eu/images/first-open/P2R-Second-Open-Call%20intro.pdf
